"frequency","base","more","adpt","ml_base","ml_more","ml_adpt","last_base","last_adpt","delta_more","delta_adpt"
1000,-80.2326022528742,-80.2326022528742,-80.2326022528742,10,20,10,2.55315878480937e-41,2.55315878480937e-41,0,0
2000,-68.283410714827,-68.283410714827,-68.283410714827,10,20,10,5.34935639833882e-35,5.34935639833882e-35,0,0
3000,-61.3931949572824,-61.3931949572824,-61.3931949572824,10,20,10,2.66404119159567e-31,2.66404119159567e-31,0,0
4000,-56.6109701134043,-56.6109701134043,-56.6109701134043,10,20,10,1.11765167407283e-28,1.11765167407283e-28,0,0
5000,-53.0130004802238,-53.0130004802238,-53.0130004802238,10,20,10,1.20836418058641e-26,1.20836418058641e-26,0,0
6000,-50.1896319838327,-50.1896319838327,-50.1896319838327,10,20,10,5.54005446950096e-25,5.54005446950096e-25,0,0
7000,-47.9248477842501,-47.9248477842501,-47.9248477842501,11,21,11,1.03463052988619e-26,1.03463052988619e-26,0,0
8000,-46.0927634275135,-46.0927634275135,-46.0927634275135,11,21,11,2.22200006351771e-25,2.22200006351771e-25,0,0
9000,-44.6155703372115,-44.6155703372115,-44.6155703372115,11,21,11,3.32007750315453e-24,3.32007750315453e-24,0,0
10000,-43.4436221910894,-43.4436221910894,-43.4436221910894,11,21,11,3.72579227371402e-23,3.72579227371402e-23,0,0
11000,-42.5448740669394,-42.5448740669394,-42.5448740669394,11,21,11,3.31627364228259e-22,3.31627364228259e-22,0,0
12000,-41.8987762532203,-41.8987762532203,-41.8987762532203,11,21,11,2.43746770377046e-21,2.43746770377046e-21,0,0
13000,-41.492497909476,-41.492497909476,-41.492497909476,11,21,11,1.52535304152061e-20,1.52535304152061e-20,0,0
14000,-41.3183883348969,-41.3183883348969,-41.3183883348969,11,21,11,8.32285596422181e-20,8.32285596422181e-20,0,0
15000,-41.371854712965,-41.371854712965,-41.371854712965,11,21,11,4.03489094083208e-19,4.03489094083208e-19,0,0
16000,-41.6485824474562,-41.6485824474562,-41.6485824474562,11,21,11,1.7646089190126e-18,1.7646089190126e-18,0,0
17000,-42.1391207054507,-42.1391207054507,-42.1391207054507,11,21,11,7.04888716227814e-18,7.04888716227814e-18,0,0
18000,-42.8169541029388,-42.8169541029388,-42.8169541029388,11,21,11,2.59848171091531e-17,2.59848171091531e-17,0,0
19000,-43.6137581382696,-43.6137581382696,-43.6137581382696,12,22,12,4.05568752449867e-19,4.05568752449867e-19,0,0
20000,-44.3796725247026,-44.3796725247026,-44.3796725247026,12,22,12,1.44717128630592e-18,1.44717128630592e-18,0,0
21000,-44.8632052342837,-44.8632052342837,-44.8632052342837,12,22,12,4.84805666668694e-18,4.84805666668694e-18,0,0
22000,-44.8147242834861,-44.8147242834861,-44.8147242834861,12,22,12,1.53368800316793e-17,1.53368800316793e-17,0,0
23000,-44.2076933576225,-44.2076933576225,-44.2076933576225,12,22,12,4.60489454836147e-17,4.60489454836147e-17,0,0
24000,-43.2682122971665,-43.2682122971665,-43.2682122971665,12,22,12,1.31803643401618e-16,1.31803643401618e-16,0,0
25000,-42.261328197662,-42.261328197662,-42.261328197662,12,22,12,3.6102530188748e-16,3.6102530188748e-16,0,0
26000,-41.3554125880507,-41.3554125880507,-41.3554125880507,12,22,12,9.49577238813046e-16,9.49577238813046e-16,0,0
27000,-40.628313758996,-40.628313758996,-40.628313758996,12,22,12,2.4055680121973e-15,2.4055680121973e-15,-1.4210854715202e-14,0
28000,-40.1079453577197,-40.1079453577197,-40.1079453577197,12,22,12,5.88530062057344e-15,5.88530062057344e-15,0,0
29000,-39.7998401495999,-39.7998401495999,-39.7998401495999,12,22,12,1.39389208260763e-14,1.39389208260763e-14,-7.105427357601e-15,0
30000,-39.7002334067452,-39.7002334067452,-39.7002334067452,12,22,12,3.20286407539268e-14,3.20286407539268e-14,0,0
31000,-39.8005143434008,-39.8005143434008,-39.8005143434008,13,23,13,7.40226624082637e-16,7.40226624082637e-16,0,0
32000,-40.0863662305151,-40.0863662305151,-40.0863662305151,13,23,13,1.71772061399832e-15,1.71772061399832e-15,0,0
33000,-40.5323096608173,-40.5323096608173,-40.5323096608173,13,23,13,3.88031687960438e-15,3.88031687960438e-15,0,0
34000,-41.0911236183045,-41.0911236183045,-41.0911236183045,13,23,13,8.54658206536769e-15,8.54658206536769e-15,0,0
35000,-41.6794203535289,-41.6794203535289,-41.6794203535289,13,23,13,1.83803001384738e-14,1.83803001384738e-14,0,0
36000,-42.1699084764806,-42.1699084764805,-42.1699084764806,13,23,13,3.86472880228525e-14,3.86472880228525e-14,7.105427357601e-15,0
37000,-42.4167635807306,-42.4167635807306,-42.4167635807306,13,23,13,7.9545598268407e-14,7.9545598268407e-14,7.105427357601e-15,0
38000,-42.3296920811525,-42.3296920811525,-42.3296920811525,13,23,13,1.60445073599319e-13,1.60445073599319e-13,1.4210854715202e-14,0
39000,-41.9394929071255,-41.9394929071255,-41.9394929071255,13,23,13,3.17463999758999e-13,3.17463999758999e-13,1.4210854715202e-14,0
40000,-41.373068541494,-41.373068541494,-41.373068541494,13,23,13,6.16781540633277e-13,6.16781540633277e-13,4.2632564145606e-14,0
41000,-40.7712453130136,-40.7712453130136,-40.7712453130136,13,23,13,1.17765334656308e-12,1.17765334656308e-12,4.9737991503207e-14,0
42000,-40.2371867775379,-40.2371867775378,-40.2371867775379,13,23,13,2.21159536924351e-12,2.21159536924351e-12,9.2370555648813e-14,0
43000,-39.83098736916,-39.8309873691599,-39.83098736916,13,23,13,4.08812239135828e-12,4.08812239135828e-12,1.27897692436818e-13,0
44000,-39.5823604391078,-39.5823604391078,-39.5823604391078,14,24,14,1.34820827648779e-13,1.34820827648779e-13,0,0
45000,-39.5026713313982,-39.5026713313982,-39.5026713313982,14,24,14,2.53470086205333e-13,2.53470086205333e-13,0,0
46000,-39.5915674703179,-39.5915674703179,-39.5915674703179,14,24,14,4.69536984482848e-13,4.69536984482848e-13,-7.105427357601e-15,0
47000,-39.8384818746607,-39.8384818746607,-39.8384818746607,14,24,14,8.57538122915609e-13,8.57538122915609e-13,0,0
48000,-40.2197641236338,-40.2197641236338,-40.2197641236338,14,24,14,1.54499775321601e-12,1.54499775321601e-12,2.1316282072803e-14,0
49000,-40.6920908649183,-40.6920908649183,-40.6920908649183,14,24,14,2.74743725899468e-12,2.74743725899468e-12,6.3948846218409e-14,0
50000,-41.1845870640091,-41.1845870640089,-41.1845870640091,14,24,14,4.82473752646199e-12,4.82473752646199e-12,1.84741111297626e-13,0
51000,-41.5978489495077,-41.5978489495072,-41.5978489495077,14,24,14,8.37091439597122e-12,8.37091439597122e-12,4.9737991503207e-13,0
52000,-41.82477352636,-41.8247735263589,-41.82477352636,14,24,14,1.435557571515e-11,1.435557571515e-11,1.12976294985856e-12,0
53000,-41.7979743898133,-41.797974389811,-41.7979743898133,14,24,14,2.43444989392297e-11,2.43444989392297e-11,2.27373675443232e-12,0
54000,-41.5309407387152,-41.5309407387111,-41.5309407387152,14,24,14,4.08401404688133e-11,4.08401404688133e-11,4.12114786740858e-12,0
55000,-41.1083640369189,-41.108364036912,-41.1083640369189,14,24,14,6.7802205648745e-11,6.7802205648745e-11,6.90647539158817e-12,0
56000,-40.636960855894,-40.6369608558943,-40.636960855894,15,25,15,2.87232476797407e-12,2.87232476797407e-12,-2.48689957516035e-13,0
57000,-40.2053419280313,-40.2053419280317,-40.2053419280313,15,25,15,4.85204949069477e-12,4.85204949069477e-12,-3.97903932025656e-13,0
58000,-39.8719270072361,-39.8719270072367,-39.8719270072361,15,25,15,8.11477197962683e-12,8.11477197962683e-12,-6.32383034826489e-13,0
59000,-39.6693464105369,-39.6693464105379,-39.6693464105369,15,25,15,1.34408911891749e-11,1.34408911891749e-11,-9.9475983006414e-13,0
60000,-39.6120424658455,-39.612042465847,-39.6120424658455,15,25,15,2.20553789867491e-11,2.20553789867491e-11,-1.55608859131462e-12,0
61000,-39.7014016609225,-39.701401660925,-39.7014016609225,15,25,15,3.58643600678773e-11,3.58643600678773e-11,-2.42295072894194e-12,0
62000,-39.9272774356445,-39.9272774356482,-39.9272774356445,15,25,15,5.78089240197012e-11,5.78089240197012e-11,-3.67350594387972e-12,0
63000,-40.2661432183177,-40.2661432183231,-40.2661432183177,15,25,15,9.23900520378982e-11,9.23900520378982e-11,-5.37170308234636e-12,0
64000,-40.676757301728,-40.6767573017353,-40.6767573017355,15,25,16,1.46441398460543e-10,4.34363269384476e-12,-7.29727389625623e-12,-7.49622586226906e-12
65000,-41.0960541630836,-41.0960541630921,-41.0960541630923,15,25,16,2.30258417180036e-10,7.05742764943222e-12,-8.5336182564788e-12,-8.76809735927964e-12
66000,-41.4418784920215,-41.4418784920282,-41.4418784920284,15,25,16,3.59236110267678e-10,1.13726323455511e-11,-6.75015598972095e-12,-6.93489710101858e-12
67000,-41.6316540505878,-41.6316540505855,-41.6316540505854,15,25,16,5.56227645076356e-10,1.81801877662078e-11,2.28794760914752e-12,2.35900188272353e-12
68000,-41.6165091069895,-41.6165091069902,-41.6165091069895,16,26,16,2.88373640976482e-11,2.88373640976482e-11,-7.17648163117701e-13,0
69000,-41.4078607335599,-41.4078607335619,-41.4078607335599,16,26,16,4.53968104800228e-11,4.53968104800228e-11,-2.01083594220108e-12,0
70000,-41.0703300097683,-41.0703300097725,-41.0703300097683,16,26,16,7.09408556983829e-11,7.09408556983829e-11,-4.18509671362699e-12,0
71000,-40.6883687633835,-40.6883687633912,-40.6883687633914,16,26,17,1.10066135431282e-10,3.5623456387655e-12,-7.63833440942108e-12,-7.85149723014911e-12
72000,-40.3363903957834,-40.3363903957964,-40.3363903957968,16,26,17,1.69581528638052e-10,5.65426618932507e-12,-1.29887212096946e-11,-1.33724142870051e-11
73000,-40.0668538213569,-40.0668538213782,-40.0668538213788,16,26,17,2.59506851389558e-10,8.91060161993733e-12,-2.12665440812998e-11,-2.19131379708415e-11
74000,-39.9111124418767,-39.9111124419108,-39.9111124419119,16,26,17,3.94492977863126e-10,1.39446541791674e-11,-3.41486838806304e-11,-3.52216034116282e-11
75000,-39.884174134347,-39.8841741344013,-39.884174134403,16,26,17,5.95828897658566e-10,2.16747727802762e-11,-5.42854650120717e-11,-5.60405055693991e-11
76000,-39.9885241589735,-39.9885241590593,-39.9885241590621,16,26,17,8.94261382941718e-10,3.34672887714297e-11,-8.58264570524625e-11,-8.86686279955029e-11
77000,-40.2155165261712,-40.2155165263061,-40.2155165263107,16,26,17,1.3339332005182e-09,5.13423659128861e-11,-1.34889432956697e-10,-1.39486644457065e-10
78000,-40.5443219002613,-40.5443219004712,-40.5443219004785,16,26,17,1.97785227109472e-09,7.82686865087353e-11,-2.09894324143534e-10,-2.17241336031293e-10
79000,-40.9392977084222,-40.9392977087427,-40.9392977087423,16,26,18,2.91544462421569e-09,4.25022900433424e-12,-3.2041214126366e-10,-3.20049764468422e-10
80000,-41.3481696421259,-41.3481696425989,-41.3481696425983,16,26,18,4.27292825945948e-09,6.57543436085063e-12,-4.73043826332287e-10,-4.72468286716321e-10
81000,-41.7058605468656,-41.7058605468404,-41.7058605468396,17,27,18,2.67363251483135e-10,1.01101256354498e-11,2.51603182732651e-11,2.60058641288197e-11
82000,-41.9495429205299,-41.9495429204963,-41.9495429204951,17,27,18,3.97983911724528e-10,1.54514716245201e-11,3.35873551193799e-11,3.47455397786689e-11
83000,-42.0436444745391,-42.0436444744984,-42.043644474497,17,27,18,5.89097024886733e-10,2.3475956073547e-11,4.07212041864113e-11,4.21707113673619e-11
84000,-42.000105308155,-42.0001053081111,-42.0001053081095,17,27,18,8.67200029427568e-10,3.54628539149883e-11,4.39186464973318e-11,4.5517367652792e-11
85000,-41.877633296891,-41.8776332968505,-41.877633296849,17,27,18,1.26973934896677e-09,5.32691546772487e-11,4.04583033741801e-11,4.19646539739915e-11
86000,-41.7641954915859,-41.7641954915582,-41.7641954915571,17,27,18,1.8493647261129e-09,7.95760689655306e-11,2.77111666946439e-11,2.87769807982841e-11
87000,-41.7657062280529,-41.7657062280501,-41.7657062280501,17,27,19,2.67973196925503e-09,4.62597798726109e-12,2.74980038739159e-12,2.74269496003399e-12
88000,-42.0284337784384,-42.0284337784756,-42.0284337784756,17,27,19,3.86337943026815e-09,7.00750970571547e-12,-3.71755959349684e-11,-3.71187525161076e-11
89000,-42.8646182952864,-42.864618295373,-42.8646182953729,17,27,19,5.54236861657847e-09,1.05578299167778e-11,-8.66080540617986e-11,-8.64730509420042e-11
90000,-45.4806800231857,-45.4806800232373,-45.4806800232372,17,27,19,7.91259208017461e-09,1.58228568384687e-11,-5.16138243256137e-11,-5.15285591973225e-11
91000,-66.3638469143765,-66.363846893776,-66.3638468938104,17,27,19,1.1242924605648e-08,2.35907239968429e-11,2.06005381642171e-08,2.05660626306781e-08
92000,-40.0060272744739,-40.0060272759025,-40.0060272759,17,27,19,1.5900742143411e-08,3.49936357806365e-11,-1.42857459195511e-09,-1.42606637609788e-09
93000,-38.5446101565419,-38.54461015645,-38.5446101564463,18,28,19,1.14268060406007e-09,5.1650210536677e-11,9.1837648596993e-11,9.55608925323759e-11
94000,-38.9847247511357,-38.9847247509949,-38.984724750989,18,28,19,1.63969723896777e-09,7.58634753761063e-11,1.40794043090864e-10,1.46627598951454e-10
95000,-39.4577170842783,-39.4577170840639,-39.4577170840643,18,28,20,2.34211478799336e-09,4.68250719639398e-12,2.14349427096749e-10,2.14001261156227e-10
96000,-39.804898386928,-39.8048983866119,-39.8048983866124,18,28,20,3.33039653854482e-09,6.96904198725098e-12,3.16134673994384e-10,3.15601766942564e-10
97000,-40.0005855429556,-40.0005855425099,-40.0005855425107,18,28,20,4.71480072682054e-09,1.03223878797893e-11,4.45616876731947e-10,4.44828174295253e-10
98000,-40.0468542060967,-40.0468542055002,-40.0468542055013,18,28,20,6.64577423179795e-09,1.52173483289414e-11,5.9654325923475e-10,5.95441917994322e-10
99000,-39.9703248764189,-39.9703248756602,-39.9703248756616,18,28,20,9.32774778475167e-09,2.23299391194692e-11,7.58738849526708e-10,7.57275131491042e-10
1e+05,-39.8162418140168,-39.8162418130962,-39.816241813098,18,28,20,1.30373715824766e-08,3.26184046833884e-11,9.20678644433792e-10,9.18817022466101e-10
101000,-39.6358850384449,-39.6358850373756,-39.6358850373778,18,28,20,1.81475242867862e-08,4.74351487149494e-11,1.0692744467633e-09,1.06702202629094e-09
102000,-39.4752119276271,-39.4752119264422,-39.4752119264448,18,28,20,2.51587989395332e-08,6.86807242166502e-11,1.18494369871769e-09,1.18233600687745e-09
103000,-39.3689870301194,-39.3689870288881,-39.3689870288909,18,28,20,3.47406343300567e-08,9.90148101386195e-11,1.23123555795246e-09,1.22840759786413e-09
104000,-39.339540325531,-39.3395403243933,-39.3395403243932,18,28,21,4.77848415939899e-08,6.55439762927701e-12,1.137699712217e-09,1.13781339905472e-09
105000,-39.3975680232561,-39.3975680232968,-39.3975680232968,19,29,21,3.86705520825566e-09,9.56825982044567e-12,-4.07709421779145e-11,-4.06927824769809e-11
106000,-39.5430231719518,-39.5430231719461,-39.5430231719461,19,29,21,5.3917794961644e-09,1.39087937903671e-11,5.698552740796e-12,5.6914473134384e-12
107000,-39.7652672418824,-39.7652672417772,-39.7652672417774,19,29,21,7.48869538888062e-09,2.01341706666328e-11,1.0517453574721e-10,1.04947162071767e-10
108000,-40.042636636953,-40.0426366366542,-40.0426366366549,19,29,21,1.03616761155866e-08,2.90266110281822e-11,2.98761904105049e-10,2.9807978307872e-10
109000,-40.3425750708849,-40.3425750702352,-40.3425750702368,19,29,21,1.4283360394068e-08,4.16780040437212e-11,6.49713172151678e-10,6.48178399842436e-10
110000,-40.6245840368883,-40.6245840356441,-40.6245840356472,19,29,21,1.96170312122191e-08,5.96065979539348e-11,1.24417454117065e-09,1.24110499655217e-09
111000,-40.848729903697,-40.8487299015158,-40.8487299015215,19,29,21,2.68450319013948e-08,8.49154378849174e-11,2.18116014139014e-09,2.17554685377763e-09
112000,-40.9909334181554,-40.9909334146016,-40.9909334146012,19,29,22,3.66055436108505e-08,5.88830546898839e-12,3.55382212546829e-09,3.55424134568239e-09
113000,-41.064457792395,-41.0644577869501,-41.0644577869494,19,29,22,4.97400200978876e-08,8.48888259878969e-12,5.44490319498436e-09,5.44559242143805e-09
114000,-41.1633598441562,-41.1633598361577,-41.1633598361567,19,29,22,6.73541595223672e-08,1.2190903851477e-11,7.99847299504108e-09,7.99953880914472e-09
115000,-41.766811782424,-41.7668117704128,-41.7668117704111,19,29,22,9.08960126951159e-08,1.7441058681324e-11,1.20112275681095e-08,1.20129257652479e-08
116000,-38.1642137892609,-38.1642137798261,-38.1642137798247,19,29,22,1.22255711541548e-07,2.48591923593891e-11,9.43474987025184e-09,9.436163850296e-09
117000,-39.0368523659248,-39.0368523504045,-39.036852350402,19,29,22,1.63892384240703e-07,3.53023341202536e-11,1.55203849772079e-08,1.55228576659283e-08
118000,-39.2881481378394,-39.2881481391112,-39.2881481391077,20,30,22,1.49448991222049e-08,4.99512555481053e-11,-1.27177202102757e-09,-1.26828325619499e-09
119000,-39.3880363070127,-39.3880363086739,-39.3880363086692,20,30,22,2.02915814664203e-08,7.04270819998319e-11,-1.66124891620711e-09,-1.65651670158695e-09
120000,-39.5026416924717,-39.5026416945924,-39.5026416945861,20,30,22,2.74609444459598e-08,9.89478550810032e-11,-2.12070716543167e-09,-2.11443307307491e-09
121000,-39.6712847539839,-39.6712847566272,-39.6712847566276,20,30,23,3.70435019134428e-08,7.26111105177109e-12,-2.64330424215586e-09,-2.64368793523317e-09
122000,-39.898559523165,-39.8985595263485,-39.898559526349,20,30,23,4.98110159547705e-08,1.03178065166491e-11,-3.18352988415427e-09,-3.1840272640693e-09
123000,-40.1716310242361,-40.1716310278611,-40.1716310278616,20,30,23,6.67689979694646e-08,1.46103543050365e-11,-3.62494745331787e-09,-3.62553720378855e-09
124000,-40.4656618389481,-40.4656618426824,-40.465661842683,20,30,23,8.92234927630533e-08,2.06179292078123e-11,-3.73433550748814e-09,-3.73498210137768e-09
125000,-40.7482194956997,-40.748219498818,-40.7482194988185,20,30,23,1.18865772508764e-07,2.89975689045272e-11,-3.11822390131056e-09,-3.11879233549917e-09
126000,-40.9863589953252,-40.9863589965407,-40.986358996541,20,30,23,1.57879419922121e-07,4.0647251107605e-11,-1.21548282550066e-09,-1.2157101991761e-09
127000,-41.1569616614709,-41.1569616588287,-41.1569616588281,20,30,23,2.09075315793353e-07,5.67902930199425e-11,2.64222421719751e-09,2.64276422967669e-09
128000,-41.2573699862216,-41.257369977095,-41.257369977093,20,30,23,2.76061300566363e-07,7.90879241703273e-11,9.12660880203475e-09,9.12856989998545e-09
