"frequency","TS_acousticts","TS_original","delta_TS","abs_delta_TS"
1000,-116.010436887074,-116.009657062216,-0.000779824857531253,0.000779824857531253
2000,-103.920783732221,-103.921317175963,0.000533443741730366,0.000533443741730366
3000,-96.7999528603348,-96.8003054445982,0.00035258426342466,0.00035258426342466
4000,-91.6967998779643,-91.696838653543,3.87755787301103e-05,3.87755787301103e-05
5000,-87.6853971293296,-87.6851716944877,-0.000225434841951255,0.000225434841951255
6000,-84.3522599281539,-84.351959996011,-0.000299932142908688,0.000299932142908688
7000,-81.4757294410695,-81.4755038556003,-0.000225585469181055,0.000225585469181055
8000,-78.9223107567578,-78.9221977154579,-0.000113041299940164,0.000113041299940164
9000,-76.6045752691835,-76.604540769428,-3.44997555288273e-05,3.44997555288273e-05
10000,-74.4613195542091,-74.4613083760274,-1.1178181722471e-05,1.1178181722471e-05
11000,-72.4471376815235,-72.4471035292428,-3.41522806621697e-05,3.41522806621697e-05
12000,-70.5264324755864,-70.5263484616846,-8.40139017839192e-05,8.40139017839192e-05
13000,-68.6696802443387,-68.6695376414854,-0.000142602853259177,0.000142602853259177
14000,-66.8508830848585,-66.8506850338327,-0.000198051025776635,0.000198051025776635
15000,-65.0456332108987,-65.0453877885574,-0.000245422341293988,0.000245422341293988
16000,-63.2294404854252,-63.2291554842076,-0.000285001217619651,0.000285001217619651
17000,-61.3760864205818,-61.375766591421,-0.000319829160808638,0.000319829160808638
18000,-59.4558550895084,-59.455501557692,-0.000353531816415398,0.000353531816415398
19000,-57.4336971388312,-57.4333082108282,-0.000388928003047795,0.000388928003047795
20000,-55.2681732915904,-55.2677458034536,-0.000427488136821808,0.000427488136821808
21000,-52.9152094249678,-52.9147399529197,-0.000469472048145292,0.000469472048145292
22000,-50.3534627383238,-50.3529481912058,-0.000514547118015685,0.000514547118015685
23000,-47.6937861184053,-47.6932232554008,-0.000562863004454073,0.000562863004454073
24000,-45.4998466808669,-45.4992305580705,-0.000616122796394336,0.000616122796394336
25000,-44.8668232320118,-44.866149443214,-0.000673788797769248,0.000673788797769248
26000,-45.8869953319226,-45.8862651879369,-0.000730143985698817,0.000730143985698817
27000,-47.470603956708,-47.4698179397766,-0.000786016931357381,0.000786016931357381
28000,-48.9763577125308,-48.9755125976175,-0.000845114913254008,0.000845114913254008
29000,-50.259631083945,-50.2587217133238,-0.000909370621229755,0.000909370621229755
30000,-51.3301681721675,-51.329188691305,-0.000979480862447701,0.000979480862447701
31000,-52.2258419243227,-52.2247866491628,-0.00105527515989223,0.00105527515989223
32000,-52.9823964773882,-52.9812607055499,-0.00113577183833513,0.00113577183833513
33000,-53.628369418048,-53.6271501707353,-0.0012192473127115,0.0012192473127115
34000,-54.1856616104437,-54.1843582044227,-0.0013034060210515,0.0013034060210515
35000,-54.6710073438401,-54.6696216968492,-0.00138564699085464,0.00138564699085464
36000,-55.0972892101884,-55.0958258176045,-0.0014633925838865,0.0014633925838865
37000,-55.4745392317127,-55.4730047968478,-0.00153443486486537,0.00153443486486537
38000,-55.8106677230565,-55.8090704683511,-0.00159725470544458,0.00159725470544458
39000,-56.1119889290658,-56.1103376544117,-0.00165127465413661,0.00165127465413661
40000,-56.3836016199915,-56.3819046034,-0.00169701659148558,0.00169701659148558
41000,-56.6296672995067,-56.627931152168,-0.00173614733868988,0.00173614733868988
42000,-56.8536159529024,-56.8518445448699,-0.00177140803253195,0.00177140803253195
43000,-57.0583000827083,-57.0564936478547,-0.00180643485361998,0.00180643485361998
44000,-57.2461114337837,-57.2442659451742,-0.00184548860953271,0.00184548860953271
45000,-57.4190704790331,-57.4171773608888,-0.00189311814427384,0.00189311814427384
46000,-57.5788957798645,-57.5769419926179,-0.00195378724659889,0.00195378724659889
47000,-57.7270583035618,-57.7250268068844,-0.00203149667740377,0.00203149667740377
48000,-57.8648243703591,-57.8626949381103,-0.00212943224877904,0.00212943224877904
49000,-57.9939377794612,-57.9910402480874,-0.00289753137377602,0.00289753137377602
50000,-58.1134080470875,-58.1110151072556,-0.00239293983187139,0.00239293983187139
51000,-58.2260113927745,-58.2234528633885,-0.00255852938598622,0.00255852938598622
52000,-58.3331389224184,-58.3290861066851,-0.00405281573326022,0.00405281573326022
53000,-58.4315080106651,-58.4285615814107,-0.00294642925438637,0.00294642925438637
54000,-58.5256127013425,-58.5224524045371,-0.00316029680544716,0.00316029680544716
55000,-58.6146481551771,-58.6112681113605,-0.00338004381664803,0.00338004381664803
56000,-58.6990622065201,-58.6954629427401,-0.00359926378003905,0.00359926378003905
57000,-58.7792540234362,-58.7754427084255,-0.00381131501071508,0.00381131501071508
58000,-58.8555802244703,-58.8515704987916,-0.00400972567869928,0.00400972567869928
59000,-58.9283600628831,-58.924171468104,-0.00418859477906608,0.00418859477906608
60000,-58.9363387305737,-58.9935368726073,0.057198142033549,0.057198142033549
61000,-59.0643966528398,-59.0599275137413,-0.00446913909848234,0.00446913909848234
62000,-59.1281416476184,-59.1235767089357,-0.00456493868269092,0.00456493868269092
63000,-59.1893227504032,-59.1846928885329,-0.0046298618702636,0.0046298618702636
64000,-59.2481270571819,-59.2434618967082,-0.00466516047372068,0.00466516047372068
65000,-59.3047228720783,-59.3000490562867,-0.00467381579157689,0.00467381579157689
66000,-59.3592614629238,-59.3546010418152,-0.0046604211085679,0.0046604211085679
67000,-59.4118785692457,-59.4072475919099,-0.00463097733584306,0.00463097733584306
68000,-59.462695694143,-59.4581030806476,-0.00459261349543283,0.00459261349543283
69000,-59.5118212057528,-59.5072679584538,-0.00455324729902884,0.00455324729902884
70000,-59.5593512692758,-59.5548300654548,-0.00452120382099253,0.00452120382099253
71000,-59.6053706262651,-59.6008658144648,-0.00450481180028106,0.00450481180028106
72000,-59.6499532342856,-59.6454412365109,-0.00451199777473477,0.00451199777473477
73000,-59.693162776811,-59.6886128788894,-0.00454989792164895,0.00454989792164895
74000,-59.7350530501385,-59.730428543991,-0.00462450614751475,0.00462450614751475
75000,-59.7756682311966,-59.7709278563105,-0.00474037488613277,0.00474037488613277
76000,-59.8150430273078,-59.8101426449272,-0.00490038238061885,0.00490038238061885
77000,-59.8532027060001,-59.8480971290393,-0.00510557696079417,0.00510557696079417
78000,-59.8901629995282,-59.8848078945649,-0.00535510496330716,0.00535510496330716
79000,-59.9259298756333,-59.9202836500752,-0.00564622555805983,0.00564622555805983
80000,-59.9604991613023,-59.9545247500441,-0.00597441125815834,0.00597441125815834
81000,-59.9938560019237,-59.9875224721952,-0.00633352972850787,0.00633352972850787
82000,-60.0259741319595,-60.0192580331549,-0.00671609880458846,0.00671609880458846
83000,-60.0568149254806,-60.0497013221566,-0.00711360332398669,0.00711360332398669
84000,-60.0863261862701,-60.0788093255506,-0.00751686071946267,0.00751686071946267
85000,-60.1144406238819,-60.1065242045762,-0.00791641930571529,0.00791641930571529
86000,-60.1410739473532,-60.1327709742122,-0.00830297314097805,0.00830297314097805
87000,-60.1661224867178,-60.1574547105849,-0.00866777613287439,0.00866777613287439
88000,-60.1894602252879,-60.1804571864798,-0.00900303880806774,0.00900303880806774
89000,-60.2109350880401,-60.2016327963388,-0.00930229170133856,0.00930229170133856
90000,-60.2303642814318,-60.2208035798881,-0.00956070154372668,0.00956070154372668
91000,-60.2475284094959,-60.2377530816628,-0.00977532783311119,0.00977532783311119
92000,-60.2621639946076,-60.2522186838425,-0.00994531076513283,0.00994531076513283
93000,-60.2739538933053,-60.2638819094513,-0.0100719838540186,0.0100719838540186
94000,-60.2825149013653,-60.2723559928388,-0.0101589085265346,0.0101589085265346
95000,-60.2873815551584,-60.2771697244176,-0.0102118307407792,0.0102118307407792
96000,-60.2879847130695,-60.2777461491705,-0.0102385638989659,0.0102385638989659
97000,-60.283622862105,-60.2733740561144,-0.0102488059905781,0.0102488059905781
98000,-60.2734231129305,-60.2631692105974,-0.0102539023331332,0.0102539023331332
99000,-60.2562873064905,-60.2460207354271,-0.0102665710634469,0.0102665710634469
1e+05,-60.2308161724849,-60.2205155608693,-0.0103006116155981,0.0103006116155981
101000,-60.1952003819588,-60.1848297551042,-0.0103706268545949,0.0103706268545949
102000,-60.1470603437168,-60.1365685467182,-0.010491796998636,0.010491796998636
103000,-60.0832042721515,-60.0725245076617,-0.0106797644898293,0.0106797644898293
104000,-59.9992514548167,-59.988300734423,-0.0109507203937156,0.0109507203937156
105000,-59.88902431959,-59.8777024722173,-0.0113218473726633,0.0113218473726633
106000,-59.7435253938328,-59.7317129873704,-0.011812406462397,0.011812406462397
107000,-59.5491274083842,-59.5366813716616,-0.0124460367226007,0.0124460367226007
108000,-59.2841714178618,-59.2709159112932,-0.0132555065685764,0.0132555065685764
109000,-58.9120777108123,-58.8977849132361,-0.0142927975762177,0.0142927975762177
110000,-58.3660364713927,-58.3503847614402,-0.0156517099525004,0.0156517099525004
111000,-57.510871610209,-57.4933512509097,-0.0175203592993327,0.0175203592993327
112000,-56.0367996964895,-56.0165362689098,-0.0202634275796569,0.0202634275796569
113000,-53.2712983987852,-53.2484277347251,-0.0228706640601146,0.0228706640601146
114000,-54.1289160429691,-54.1271351155121,-0.00178092745703395,0.00178092745703395
115000,-67.4912620791491,-67.4732877280085,-0.0179743511405661,0.0179743511405661
116000,-74.1635753822403,-74.133925200765,-0.0296501814752475,0.0296501814752475
117000,-69.2141877801823,-69.1985103059956,-0.0156774741867167,0.0156774741867167
118000,-67.0709143636267,-67.0550869810708,-0.0158273825558695,0.0158273825558695
119000,-65.9506445440676,-65.9337141792448,-0.0169303648227555,0.0169303648227555
120000,-65.2732054654151,-65.2551347115176,-0.0180707538975042,0.0180707538975042
121000,-64.8262487382043,-64.8071279222748,-0.0191208159294831,0.0191208159294831
122000,-64.5143901485051,-64.4943347020768,-0.02005544642833,0.02005544642833
123000,-64.2884740029859,-64.2676064375437,-0.0208675654422166,0.0208675654422166
124000,-64.1205947529688,-64.0990410983255,-0.021553654643256,0.021553654643256
125000,-63.9937315051446,-63.9716201261374,-0.0221113790071783,0.0221113790071783
126000,-63.8969105257347,-63.8743709187736,-0.0225396069610468,0.0225396069610468
127000,-63.8227372539403,-63.7998984229949,-0.0228388309453678,0.0228388309453678
128000,-63.7660459434883,-63.7430343789982,-0.0230115644901119,0.0230115644901119
129000,-63.7231178307657,-63.7000552622064,-0.0230625685593395,0.0230625685593395
130000,-63.6912069723025,-63.6682079384247,-0.0229990338777952,0.0229990338777952
131000,-63.6682410764064,-63.6454105284841,-0.0228305479223039,0.0228305479223039
132000,-63.6526263702826,-63.6300574236291,-0.0225689466534504,0.0225689466534504
133000,-63.6431167264809,-63.6208885355681,-0.0222281909127844,0.0222281909127844
134000,-63.6387234875287,-63.6168994473577,-0.0218240401709622,0.0218240401709622
135000,-63.6386520685657,-63.6172783436071,-0.0213737249585648,0.0213737249585648
136000,-63.642256404686,-63.621360909122,-0.0208954955640479,0.0208954955640479
137000,-63.6490058305294,-63.6285975476722,-0.0204082828572183,0.0204082828572183
138000,-63.6584602973032,-63.6385292110322,-0.0199310862710433,0.0199310862710433
139000,-63.670252068574,-63.6507693476924,-0.0194827208816477,0.0194827208816477
140000,-63.684071406398,-63.6649902656238,-0.0190811407741833,0.0190811407741833
141000,-63.6996557728821,-63.6809127197385,-0.0187430531435737,0.0187430531435737
142000,-63.7167814182642,-63.6982978809603,-0.0184835373038723,0.0184835373038723
143000,-63.735256787445,-63.7169410803797,-0.0183157070652626,0.0183157070652626
144000,-63.754917152423,-63.7366668864071,-0.0182502660158477,0.0182502660158477
145000,-63.775620349311,-63.7573251890895,-0.0182951602215127,0.0182951602215127
146000,-63.7972437528145,-63.7787880492887,-0.0184557035257811,0.0184557035257811
147000,-63.8196812457827,-63.8009471314404,-0.0187341143423367,0.0187341143423367
148000,-63.8428412067243,-63.8237115839132,-0.0191296228110929,0.0191296228110929
149000,-63.8666446773141,-63.8470062652089,-0.019638412105202,0.019638412105202
150000,-63.8910239430056,-63.8707702405297,-0.0202537024758556,0.0202537024758556
